ASSEMBLY_ID	COMPONENT_ID	REQUIRED_QTY	Processed Flag
128-027600-001	128-021059-001	2	N
128-027600-001	005-0260	4	N
128-027600-001	005-0349	2	N
128-027600-001	005-0264	4	N
128-027600-001	127-024164-003	1	N
127-024164-003	020-0074	1	N
128-027600-001	020-0074	4	N
128-027600-001	127-024166-002	1	N
127-024166-002	001-0063	1	N
128-027600-001	001-0063	1	N
128-027600-001	127-024164-001	1	N
127-024164-001	020-0074	1	N
128-027600-001	127-024164-002	1	N
127-024164-002	020-0074	1	N
128-027600-001	127-024166-001	1	N
127-024166-001	001-0063	1	N
128-027600-001	127-024164-004	1	N
127-024164-004	020-0074	1	N
128-027600-001	128-024169-001	1	N
128-027600-001	128-025826-002	2	N
128-025826-002	128-025827-002	1	N
128-025826-002	128-025828-002	1	N
128-027600-001	128-025827-002	2	N
128-027600-001	128-025828-002	2	N
128-027600-001	165-023673-001	2	N
165-023673-001	165-023674-001	1	N
165-023673-001	004-0306-2	1	N
165-023673-001	004-0596	1	N
165-023673-001	165-023680-001	1	N
165-023673-001	165-023681-001	1	N
165-023673-001	165-023744-001	1	N
165-023673-001	165-023973-001	1	N
128-027600-001	165-023680-001	2	N
128-027600-001	165-023744-001	2	N
128-027600-001	004-0596	2	N
128-027600-001	165-023973-001	2	N
128-027600-001	165-023681-001	2	N
128-027600-001	004-0306-2	2	N
128-027600-001	165-023674-001	2	N
128-027600-001	165-023682-001	2	N
128-027600-001	128-024243-001	1	N
128-027600-001	165-023808-001	2	N
128-027600-001	128-022760-001	2	N
128-027600-001	128-022761-001	2	N
128-027600-001	128-024964-001	1	N
128-027600-001	128-024242-001	1	N
128-027600-001	128-024299-001	1	N
128-027600-001	128-024948-001	1	N
